loss = 0.3831553887948067,	 val loss = 0.3712643491178432
loss = 0.38313820779587443,	 val loss = 0.37642567727200016
loss = 0.38302226765384695,	 val loss = 0.3774944410690815
loss = 0.3822163723601716,	 val loss = 0.36692469849239184
loss = 0.37930870641027176,	 val loss = 0.3669377274952032
loss = 0.3682908913022993,	 val loss = 0.3584604216181174
loss = 0.333958015734514,	 val loss = 0.2920961061244189
loss = 0.22725797061175104,	 val loss = 0.11355376544536705
loss = 0.07221621817609798,	 val loss = 0.06247780493084454
loss = 0.06048851842890502,	 val loss = 0.06350233379212047
loss = 0.059261754062361796,	 val loss = 0.0640199485827535
loss = 0.05851687966764871,	 val loss = 0.06048839123384307
loss = 0.057846452633017416,	 val loss = 0.059260176325793126
loss = 0.057127255327144244,	 val loss = 0.0588727236664296
loss = 0.05627827731150667,	 val loss = 0.05899985461123665
loss = 0.0556411213417721,	 val loss = 0.056064061240101215
loss = 0.0546621614331107,	 val loss = 0.058438362142658254
loss = 0.05373383125969004,	 val loss = 0.05436039162581377
loss = 0.0526446825892487,	 val loss = 0.052971147250707916
loss = 0.051623223031037585,	 val loss = 0.05277899780930034
loss = 0.050363843251784904,	 val loss = 0.05051608327006962
loss = 0.04912352955643263,	 val loss = 0.049463537937631336
loss = 0.04758437818497841,	 val loss = 0.0472903039447777
loss = 0.04610089142276599,	 val loss = 0.04720844570776063
loss = 0.04428692017311926,	 val loss = 0.04196162298372326
loss = 0.0427120730829101,	 val loss = 0.04323574452286885
loss = 0.04059364685124801,	 val loss = 0.03908390505073445
loss = 0.03832438403938707,	 val loss = 0.039046232505061465
loss = 0.03590359771201914,	 val loss = 0.03405461288780641
loss = 0.03341711978835202,	 val loss = 0.0315190237300145
loss = 0.030537296142944956,	 val loss = 0.029599948950267387
loss = 0.027559903378004992,	 val loss = 0.026356849870406113
loss = 0.02473136950684454,	 val loss = 0.0223134043684637
loss = 0.02179444464893756,	 val loss = 0.019821124106948987
loss = 0.01897100644711457,	 val loss = 0.01797397001887
loss = 0.016430370563322513,	 val loss = 0.013554602650366246
loss = 0.014211844170949709,	 val loss = 0.012904931304810886
loss = 0.012601066980399476,	 val loss = 0.012727364316345488
loss = 0.011788754787325623,	 val loss = 0.011169553535029249
loss = 0.011342221789122593,	 val loss = 0.011467793715233139
loss = 0.011166335733829169,	 val loss = 0.01068890313701952
loss = 0.011053875480246191,	 val loss = 0.011045046059799248
loss = 0.010872062035526157,	 val loss = 0.010623776679930115
loss = 0.010823463435348039,	 val loss = 0.010858752731958134
loss = 0.010810103194608824,	 val loss = 0.010594859959775103
loss = 0.010779797503777415,	 val loss = 0.01012501599868163
loss = 0.010678680697615876,	 val loss = 0.010776005363708787
loss = 0.010661084923690457,	 val loss = 0.01046740480530365
loss = 0.010678595928966654,	 val loss = 0.0106235238868841
loss = 0.010650965243959809,	 val loss = 0.010114906970987794
loss = 0.010546449779775976,	 val loss = 0.01041029868146691
loss = 0.010444059178965336,	 val loss = 0.010318212046047423
loss = 0.010346283425030089,	 val loss = 0.010977689779262754
loss = 0.01031154562450813,	 val loss = 0.009622680347668673
loss = 0.010228102245537721,	 val loss = 0.01021565845033505
loss = 0.010223828196305056,	 val loss = 0.010207801236814862
loss = 0.01013678027283959,	 val loss = 0.009388509976869946
loss = 0.010074019254926871,	 val loss = 0.009444691516311748
loss = 0.010067309667330009,	 val loss = 0.009708877718112255
loss = 0.009974574254021921,	 val loss = 0.009026859681208544
loss = 0.009987735658648921,	 val loss = 0.00967147678381057
loss = 0.009854970759779093,	 val loss = 0.010049910432902228
loss = 0.009766934678823473,	 val loss = 0.009407141292943427
loss = 0.00972617823577737,	 val loss = 0.0099577525914686
loss = 0.009753012054914755,	 val loss = 0.009416259719809958
loss = 0.0098379943933289,	 val loss = 0.010298885394123644
loss = 0.00954059196600963,	 val loss = 0.009046886058036338
loss = 0.009478940827827503,	 val loss = 0.009145194495317628
loss = 0.00941027125481977,	 val loss = 0.008417389629632278
loss = 0.009385756197273708,	 val loss = 0.008443579167004342
loss = 0.009309481942694944,	 val loss = 0.008179314784366488
loss = 0.009371956355554194,	 val loss = 0.00873053115196824
loss = 0.009273710125581562,	 val loss = 0.008769479356439725
loss = 0.009105670711142651,	 val loss = 0.008613544812166026
loss = 0.009032605515689799,	 val loss = 0.008810093267500213
loss = 0.009052674044590054,	 val loss = 0.009104963098395312
loss = 0.008993113072398614,	 val loss = 0.008107630466540859
loss = 0.008934905067620243,	 val loss = 0.008455999133770022
loss = 0.008820925199767399,	 val loss = 0.008010373783439698
loss = 0.008802196934695751,	 val loss = 0.008468709228219996
loss = 0.008786497967726398,	 val loss = 0.008137984745574414
loss = 0.008675251768673299,	 val loss = 0.007979290930865782
loss = 0.008674467837814894,	 val loss = 0.007725767217505662
loss = 0.008579635027201448,	 val loss = 0.008155074507968933
loss = 0.008546395157810381,	 val loss = 0.007625309472595366
loss = 0.008482975167211772,	 val loss = 0.008333529566395612
loss = 0.0085248280669562,	 val loss = 0.008456242956489826
loss = 0.008446168317575475,	 val loss = 0.0077031083005401355
loss = 0.008384043407453644,	 val loss = 0.008140491565774151
loss = 0.008427472826696316,	 val loss = 0.008341422548376328
loss = 0.008351323811173754,	 val loss = 0.008611625146385153
loss = 0.008303310563875064,	 val loss = 0.007855346166490501
loss = 0.008327126952067327,	 val loss = 0.008412709493984328
loss = 0.008364911700486984,	 val loss = 0.007697387299867955
loss = 0.008458782344471664,	 val loss = 0.008770225281646157
loss = 0.008454703603912645,	 val loss = 0.008200923252583625
loss = 0.008869519000107535,	 val loss = 0.00742561629216857
loss = 0.008801580784909217,	 val loss = 0.00824595635721178
loss = 0.008351332159525925,	 val loss = 0.0078020001697088545
loss = 0.008350288321345122,	 val loss = 0.0075039848905829295
loss = 0.008483703372626389,	 val loss = 0.0081730014256511
loss = 0.00859220944846179,	 val loss = 0.00766129715723946
loss = 0.008230062421845522,	 val loss = 0.007838697457977278
loss = 0.00824242750235861,	 val loss = 0.007445672901909934
loss = 0.008287931101376784,	 val loss = 0.007803666950814742
loss = 0.008251540369274887,	 val loss = 0.00833622957191108
loss = 0.008327020699981766,	 val loss = 0.00790321146277871
loss = 0.008277455815956907,	 val loss = 0.007242611853907897
loss = 0.00832912203804345,	 val loss = 0.007836931109923466
loss = 0.008285914726339091,	 val loss = 0.007343596916274267
loss = 0.008297911275059328,	 val loss = 0.007734480459871466
loss = 0.008260738090459534,	 val loss = 0.007797667787941548
loss = 0.008208998526210712,	 val loss = 0.007903207133393465
loss = 0.008252742743228654,	 val loss = 0.0075639980647900515
loss = 0.008223460847891485,	 val loss = 0.00773942478737996
loss = 0.008272026858385288,	 val loss = 0.007758498445572536
loss = 0.008203510477825787,	 val loss = 0.0076787220533987
loss = 0.00821703204245404,	 val loss = 0.007156765074864312
loss = 0.008230615101225502,	 val loss = 0.007440381311624705
loss = 0.008255861778811716,	 val loss = 0.007866943903221912
loss = 0.00822136801714762,	 val loss = 0.0077095738141350935
